query_id,query
1,what is the origin of COVID-19
2,how does the coronavirus respond to changes in the weather
3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?
4,what causes death from Covid-19?
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?
6,what types of rapid testing for Covid-19 have been developed?
7,are there serological tests that detect antibodies to coronavirus?
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?
9,how has COVID-19 affected Canada
10,has social distancing had an impact on slowing the spread of COVID-19?
11,what are the guidelines for triaging patients infected with coronavirus?
12,what are best practices in hospitals and at home in maintaining quarantine?
13,what are the transmission routes of coronavirus?
14,what evidence is there related to COVID-19 super spreaders
15,how long can the coronavirus live outside the body
16,how long does coronavirus remain stable  on surfaces?
17,are there any clinical trials available for the coronavirus
18,what are the best masks for preventing infection by Covid-19?
19,what type of hand sanitizer is needed to destroy Covid-19?
20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?
21,what are the mortality rates overall and in specific populations
22,are cardiac complications likely in patients with COVID-19?
23,what kinds of complications related to COVID-19 are associated with hypertension?
24,what kinds of complications related to COVID-19 are associated with diabetes
25,which biomarkers predict the severe clinical course of 2019-nCOV infection?
26,what are the initial symptoms of Covid-19?
27,what is known about those infected with Covid-19 but are asymptomatic?
28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?
29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?
30,is remdesivir an effective treatment for COVID-19
31,How does the coronavirus differ from seasonal flu?
32,"Does SARS-CoV-2 have any subtypes, and if so what are they?"
33,What vaccine candidates are being tested for Covid-19?
34,What are the longer-term complications of those who recover from COVID-19?
35,What new public datasets are available related to COVID-19?
36,What is the protein structure of the SARS-CoV-2 spike?
37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?
38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?
39,What is the mechanism of cytokine storm syndrome on the COVID-19?
40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?
41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?
42,Does Vitamin D impact COVID-19 prevention and treatment?
43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?"
44,How much impact do masks have on preventing the spread of the COVID-19?
45,How has the COVID-19 pandemic impacted mental health?
46,what evidence is there for dexamethasone as a treatment for COVID-19?
47,what are the health outcomes for children who contract COVID-19?
48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?"
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?
